Date;Close
1978-12-31;164.14
1979-01-31;173.14
1979-02-28;185.27
1979-03-31;177.63
1979-04-30;184.35
1979-05-31;208.09
1979-06-30;203.37
1979-07-31;214.54
1979-08-31;227.54
1979-09-30;278.24
1979-10-31;277.86
1979-11-30;291.05
1979-12-31;354.84
1980-01-31;455.46
1980-02-29;451.17
1980-03-31;379.54
1980-04-30;372.31
1980-05-31;379.9
1980-06-30;456.96
1980-07-31;433.39
1980-08-31;447.41
1980-09-30;476.28
1980-10-31;466.89
1980-11-30;474.1
1980-12-31;448
1981-01-31;407.81
1981-02-28;409.62
1981-03-31;424.69
1981-04-30;420.48
1981-05-31;438.15
1981-06-30;403.98
1981-07-31;396.87
1981-08-31;416.22
1981-09-30;401.9
1981-10-31;394.06
1981-11-30;371.92
1981-12-31;368.16
1982-01-31;365.34
1982-02-28;356.54
1982-03-31;321.54
1982-04-30;353.51
1982-05-31;319.53
1982-06-30;330.8
1982-07-31;356.63
1982-08-31;436.14
1982-09-30;426.61
1982-10-31;461.16
1982-11-30;466.86
1982-12-31;470.98
1983-01-31;532.57
1983-02-28;432.69
1983-03-31;448.96
1983-04-30;466.02
1983-05-31;482.89
1983-06-30;466.47
1983-07-31;489.22
1983-08-31;491.63
1983-09-30;471.26
1983-10-31;444.7
1983-11-30;483.06
1983-12-31;462.95
1984-01-31;466.49
1984-02-29;458.22
1984-03-31;451.85
1984-04-30;456.18
1984-05-31;469.23
1984-06-30;464.05
1984-07-31;442.71
1984-08-31;449.41
1984-09-30;465.22
1984-10-31;453.31
1984-11-30;453.67
1984-12-31;433.55
1985-01-31;436.26
1985-02-28;431.02
1985-03-31;452.83
1985-04-30;443.67
1985-05-31;432.21
1985-06-30;432.31
1985-07-31;408.66
1985-08-31;415.11
1985-09-30;395.18
1985-10-31;384.42
1985-11-30;370.88
1985-12-31;368.27
1986-01-31;386.4
1986-02-28;348.36
1986-03-31;367.25
1986-04-30;351.62
1986-05-31;368.08
1986-06-30;353.2
1986-07-31;353.61
1986-08-31;375.5
1986-09-30;411.03
1986-10-31;396.87
1986-11-30;364.54
1986-12-31;365.16
1987-01-31;352.09
1987-02-28;359.64
1987-03-31;366.72
1987-04-30;390.16
1987-05-31;395.41
